Reduced Drift Field (V/cm/bar);Dl (sqrt(bar)*um*1/sqrt(cm))
170.2856025039124; 784.6372688477956
171.51799687010958; 776.1024182076817
172.75039123630677; 765.0071123755338
173.84585289514865; 755.6187766714086
174.6674491392801; 748.7908961593175
176.31064162754302; 750.4978662873402
178.77543035993745; 753.9118065433859
180.28169014084511; 751.3513513513518
181.78794992175273; 741.9630156472264
182.88341158059472; 734.2816500711241
184.11580594679185; 726.6002844950216
185.21126760563385; 724.8933143669988
187.26525821596243; 724.893314366999
188.49765258215962; 726.6002844950216
189.7300469483568; 726.6002844950217
190.8255086071988; 723.1863442389761
192.19483568075117; 718.9189189189192
194.11189358372462; 712.9445234708396
